Time (Date hh:mm:ss.ms),L-Max dB -A,LEQ dB -A,L-Min dB -A,L-PeakdB -A
2025/03/28 16:24:00,55.723247,44.923247,33.923247,70.623247
2025/03/28 16:25:00,43.523247,35.323247,33.823247,59.423247
2025/03/28 16:26:00,53.523247,43.123247,34.423247,69.623247
2025/03/28 16:27:00,60.523247,47.323247,37.323247,78.423247
2025/03/28 16:28:00,55.123247,45.823247,34.523247,72.123247
2025/03/28 16:29:00,39.823247,34.723247,34.023247,59.923247
2025/03/28 16:30:00,42.023247,35.723247,34.223247,58.023247
2025/03/28 16:31:00,62.023247,52.723247,37.323247,79.023247
2025/03/28 16:32:00,60.123247,48.123247,34.123247,75.623247
2025/03/28 16:33:00,56.523247,41.223247,33.623247,76.123247
2025/03/28 16:34:00,55.423247,41.123247,33.523247,71.223247
2025/03/28 16:35:00,67.423247,52.423247,35.623247,86.823247
2025/03/28 16:36:00,60.723247,52.523247,41.423247,84.323247
2025/03/28 16:37:00,63.323247,51.323247,36.923247,82.223247
2025/03/28 16:38:00,53.023247,40.123247,34.423247,69.023247
2025/03/28 16:39:00,60.423247,47.123247,33.723247,82.323247
2025/03/28 16:40:00,50.223247,38.523247,33.723247,65.623247
2025/03/28 16:41:00,59.523247,47.623247,32.623247,81.023247
2025/03/28 16:42:00,35.623247,33.323247,32.623247,53.223247
2025/03/28 16:43:00,34.423247,33.323247,32.923247,51.723247
2025/03/28 16:44:00,36.523247,33.023247,32.423247,51.823247
2025/03/28 16:45:00,58.523247,45.923247,32.523247,78.223247
2025/03/28 16:46:00,58.223247,44.923247,32.223247,75.023247
2025/03/28 16:47:00,35.723247,33.123247,32.523247,55.423247
2025/03/28 16:48:00,41.523247,35.023247,32.123247,59.923247
2025/03/28 16:49:00,39.023247,34.423247,32.423247,59.323247
2025/03/28 16:50:00,41.023247,33.323247,32.223247,56.023247
2025/03/28 16:51:00,39.323247,33.823247,31.623247,57.823247
2025/03/28 16:52:00,34.523247,32.623247,31.623247,50.623247
2025/03/28 16:53:00,43.123247,33.723247,32.423247,62.823247
2025/03/28 16:54:00,43.223247,33.923247,32.523247,64.623247
2025/03/28 16:55:00,34.523247,32.823247,32.423247,52.523247
2025/03/28 16:56:00,36.123247,33.223247,32.723247,51.623247
2025/03/28 16:57:00,37.523247,33.423247,32.723247,55.223247
2025/03/28 16:58:00,46.523247,35.723247,32.923247,66.223247
2025/03/28 16:59:00,44.823247,34.423247,32.723247,67.023247
2025/03/28 17:00:00,40.523247,34.223247,32.923247,61.923247
2025/03/28 17:01:00,51.823247,41.323247,33.123247,67.423247
2025/03/28 17:02:00,42.123247,36.423247,33.323247,60.323247
2025/03/28 17:03:00,63.123247,54.123247,33.323247,80.923247
2025/03/28 17:04:00,40.023247,33.223247,32.723247,52.323247
2025/03/28 17:05:00,58.423247,44.323247,32.823247,71.323247
2025/03/28 17:06:00,61.723247,49.623247,35.223247,81.123247
2025/03/28 17:07:00,69.123247,56.123247,37.123247,92.123247
2025/03/28 17:08:00,57.123247,48.023247,35.023247,78.623247
2025/03/28 17:09:00,70.423247,54.423247,35.523247,90.423247
2025/03/28 17:10:00,71.123247,60.923247,41.223247,92.623247
2025/03/28 17:11:00,70.623247,59.023247,36.123247,93.123247
2025/03/28 17:12:00,72.823247,59.323247,35.223247,96.523247
2025/03/28 17:13:00,61.723247,52.423247,37.123247,83.123247
2025/03/28 17:14:00,65.123247,54.123247,34.123247,85.123247
2025/03/28 17:15:00,69.923247,57.023247,43.723247,89.023247
2025/03/28 17:16:00,66.823247,55.023247,42.123247,85.123247
2025/03/28 17:17:00,67.423247,58.723247,42.023247,90.723247
2025/03/28 17:18:00,75.923247,61.523247,38.423247,93.323247
2025/03/28 17:19:00,62.223247,48.323247,34.623247,84.623247
2025/03/28 17:20:00,67.423247,56.923247,36.223247,87.423247
2025/03/28 17:21:00,70.323247,60.023247,45.823247,86.223247
2025/03/28 17:22:00,68.223247,55.823247,40.923247,89.923247
2025/03/28 17:23:00,66.323247,57.623247,40.623247,82.423247
